# SPHEREx Light Curve Data
# Source: 1662622870104953472
# RA: 205.250219
# Dec: 60.436094
# Generated: 2026-05-12T13:24:04.950755
# Number of observations: 266
#
# Column descriptions:
# - obs_id: Observation identifier
# - mjd: Modified Julian Date
# - flux: Flux density in microJansky (μJy)
# - flux_error: Flux density uncertainty in microJansky (μJy)
# - mag_ab: AB magnitude
# - mag_ab_error: AB magnitude uncertainty
# - wavelength: Central wavelength in microns
# - bandwidth: Bandwidth in microns
# - band: SPHEREx detector band (D1-D6)
# - flag: Combined flag bitmap (integer)
# - flag_binary: Flag bitmap in binary format
# - pix_x, pix_y: Pixel coordinates
# - is_upper_limit: True if flux_error > flux
# - snr: Signal-to-noise ratio
#
obs_id,mjd,flux,flux_error,mag_ab,mag_ab_error,wavelength,bandwidth,band,flag,flag_binary,pix_x,pix_y,is_upper_limit,snr,correction_factor,flux_calib,flux_error_calib
2025W17_4B_0135_1,60790.627345379,616.3083059132437,33.981379685031115,16.92550494823788,0.0598642170771982,1.884665673029436,0.0459855596689391,D3,2097152,1000000000000000000000,9.966260929298594,9.265052443549807,False,18.136647529491835,1.389511458896995,856.3674532798467,47.217516461480294
2025W17_4B_0135_1,60790.627345379,221.20845018180333,88.47589620002532,18.037995717409835,0.4342577495291893,4.616515237581498,0.0366254617445553,D6,2097152,1000000000000000000000,9.840421201415296,9.019382750134792,False,2.5002114664280737,1.1842209448106173,261.9596798743875,104.7750093909601
2025W17_4B_0135_2,60790.628837636,318.5542179711913,100.06622266514152,17.64204160014433,0.3410581768870442,4.650456147363559,0.0367227167100079,D6,2097152,1000000000000000000000,9.155675512813808,9.944195676463794,False,3.183434024857631,1.192580011371033,379.9013928903738,119.3369769638508
2025W17_4B_0135_2,60790.628837636,554.4847211467155,33.11730879015551,17.040276040888465,0.0648469827685521,1.928631626097893,0.0470749872870066,D3,2097152,1000000000000000000000,9.565977020209116,9.12556356791215,False,16.74304891922686,1.3882522040679521,769.7646362539316,45.97517692073235
2025W17_4B_0135_3,60790.630329893,199.31132028027656,96.97611168410084,18.1511700849643,0.5282714263496625,4.684608069467543,0.0366486414183572,D6,2097152,1000000000000000000000,9.070593498394954,9.977946514089208,False,2.0552620312261243,1.1818316981023016,235.55243609785094,114.60944274697935
2025W17_4B_0135_3,60790.630329904496,602.7864672662441,31.663357874062484,16.949591265717537,0.0570318941697452,1.97263604339137,0.0481759936913742,D3,2097152,1000000000000000000000,9.70201739938364,9.02169264925112,False,19.037351302529597,1.3834740227097975,833.9394187038585,43.805433090529164
2025W17_4B_0135_4,60790.63182215,604.6199661931399,32.64495042699879,16.946293788345677,0.0586216244301213,2.0186436508616192,0.0498823882422793,D3,2097152,1000000000000000000000,9.447534370646151,9.876235764194094,False,18.521086976229345,1.3800404453800474,834.4000074308501,45.05135192668498
2025W17_4B_0135_4,60790.63182215,169.11100354129047,118.19088236272988,18.32957033313766,0.7588159100610682,4.718731193499604,0.0366930308758781,D6,2097152,1000000000000000000000,9.62396611514986,9.960723068337202,False,1.4308295205232997,1.1780654547830642,199.22383129569076,139.23659558186102
2025W17_4B_0452_1,60792.736467879,466.4879076540849,28.65468205710321,17.22789902399075,0.0666928879286195,1.9877757254830004,0.048381009219867,D3,2097152,1000000000000000000000,9.539506723039793,9.542113126736508,False,16.279639980805413,1.386709362435886,646.8831490070465,39.73571588620861
2025W17_4B_0452_2,60792.737960124505,561.1394730083505,33.791478993522944,17.027322950114716,0.0653823762546921,2.0337847709784187,0.050180286250655,D3,2097152,1000000000000000000000,9.799734097862917,9.76608487003611,False,16.605945928436814,1.3801078015608885,774.4329644625901,46.635883785241894
2025W17_4B_0452_2,60792.737960124505,193.95131765940067,112.45221217339,18.18076816389965,0.6295055869442534,4.729525764964654,0.0366945222699415,D6,2097152,1000000000000000000000,9.317525895973349,9.041685222161025,False,1.7247443506077698,1.1812068471382817,229.09662443077602,132.8293229950551
2025W17_4B_0452_3,60792.739452393,57.33133330427472,113.66521510037003,19.50401989525998,2.152582752630498,4.76356444367711,0.0370975430779989,D6,2097152,1000000000000000000000,9.804576000142571,9.342083180646773,True,0.5043876726371327,1.1532714151871875,66.11858789438924,131.08684347635983
2025W17_4B_0452_3,60792.739452393,552.9080279224993,31.601345285216844,17.04336776074218,0.0620550307872032,2.080723309821525,0.0517486188929238,D3,2097152,1000000000000000000000,9.507360440017894,9.99732585232621,False,17.496344631288544,1.3767867852045867,761.2364662772256,43.508314583373824
2025W17_4B_0452_4,60792.7409446385,453.8036618404796,29.786025195027296,17.257830010050704,0.071263783590726,2.1292269031263458,0.0529324203400969,D3,2097152,1000000000000000000000,9.861759775419689,9.215592209200684,False,15.235455515435506,1.3757634161447945,624.3264760726753,40.97852377568567
2025W17_4B_0452_4,60792.7409446385,222.01437903308397,126.33999440183956,18.03404724256152,0.6178514501106958,4.797873154221609,0.0369078426458036,D6,2097152,1000000000000000000000,9.987218140686398,9.666219660174333,False,1.757277100448022,1.1843043018528352,262.93258416206726,149.62499886616172
2025W18_2B_0077_1,60797.0134076475,719.0878264762143,37.64992116077492,16.758045158519145,0.0568468565388718,1.2357980046009656,0.0296496413523019,D2,2097152,1000000000000000000000,9.078620075819297,9.314593902750204,False,19.09931825369628,1.3736270757038898,987.7585082567884,51.71695110455725
